title,date_,frequency,routeA,ab_Voltages (mV),ab_amp_median,ab_amp_all,routeA MPP Start Time (s),routeA MPP Stop Time (s),theta_ab_deg,routeB,ba_Voltages (mV),ba_amp_median,ba_amp_all,routeB MPP Start Time (s),routeB MPP Stop Time (s),theta_ba_deg,theta,epoch
check,2026-04-01 16:56:01,915,TagV32_8->TagV32_9,"[79.77 82.82 83.05 82.97 82.82 82.89 82.89 83.12 82.89 82.89 83.05 82.89
 82.97 83.2  83.2  83.28 82.89 83.05 83.2  82.89 82.74 83.2  83.05 82.97
 82.97 83.2  83.28 82.82 82.89 82.97 83.05 83.28 83.12 82.82 82.67 83.12
 83.12 82.89 83.35 83.05 80.99 80.68 80.91 80.99 80.3  80.99 80.76 80.91
 80.91 80.76 80.83 81.06 80.83 80.83 80.91 80.83 81.06 80.61 81.06 81.75
 81.52 81.29 81.52 81.67 81.29 81.29 81.83 81.9  81.67 81.6  81.37 81.6
 81.29 81.29 81.9  81.67 81.52 81.9  81.45 82.36 82.21 82.59 82.36 82.28
 82.36 82.21 82.13 82.28 82.44 82.36 82.67 82.44 82.44 82.44 82.44 82.74
 82.59 82.13 82.28 82.74 82.51 82.59 82.59 82.89 82.59 82.44 82.74 83.2
 82.74 82.82 82.44 82.74 82.67 82.36 82.51 82.82 83.05 82.74 83.28 82.89
 82.89 82.67]","[np.float64(82.93), np.float64(83.05), np.float64(80.91), np.float64(81.6), np.float64(82.44), np.float64(82.74)]","{1: array([79.77, 82.82, 83.05, 82.97, 82.82, 82.89, 82.89, 83.12, 82.89,
       82.89, 83.05, 82.89, 82.97, 83.2 , 83.2 , 83.28, 82.89, 83.05,
       83.2 , 82.89]), 3: array([82.74, 83.2 , 83.05, 82.97, 82.97, 83.2 , 83.28, 82.82, 82.89,
       82.97, 83.05, 83.28, 83.12, 82.82, 82.67, 83.12, 83.12, 82.89,
       83.35, 83.05, 80.99]), 4: array([80.68, 80.91, 80.99, 80.3 , 80.99, 80.76, 80.91, 80.91, 80.76,
       80.83, 81.06, 80.83, 80.83, 80.91, 80.83, 81.06, 80.61, 81.06,
       81.75, 81.52]), 6: array([81.29, 81.52, 81.67, 81.29, 81.29, 81.83, 81.9 , 81.67, 81.6 ,
       81.37, 81.6 , 81.29, 81.29, 81.9 , 81.67, 81.52, 81.9 , 81.45,
       82.36, 82.21]), 7: array([82.59, 82.36, 82.28, 82.36, 82.21, 82.13, 82.28, 82.44, 82.36,
       82.67, 82.44, 82.44, 82.44, 82.44, 82.74, 82.59, 82.13, 82.28,
       82.74, 82.51, 82.59]), 8: array([82.59, 82.89, 82.59, 82.44, 82.74, 83.2 , 82.74, 82.82, 82.44,
       82.74, 82.67, 82.36, 82.51, 82.82, 83.05, 82.74, 83.28, 82.89,
       82.89, 82.67])}",1775076957.54426,1775076958.667119,-103.49092018628217,TagV32_9->TagV32_8,"[78.93 79.84 80.   79.77 80.   80.15 80.07 80.15 79.92 80.07 80.07 80.
 80.   80.07 80.07 80.07 80.07 80.07 80.   79.77 82.59 82.67 82.74 82.59
 82.44 82.67 82.51 82.59 82.36 82.59 82.44 82.44 82.44 82.36 82.67 82.36
 82.36 82.36 82.44 81.75 81.9  81.75 81.75 81.6  81.83 81.9  81.9  81.6
 81.9  81.98 81.67 81.75 81.75 81.9  81.9  81.75 81.9  81.9  81.67 80.68
 80.68 80.61 80.76 80.76 80.76 80.76 80.61 80.53 80.53 80.68 80.83 80.99
 80.76 80.83 80.68 80.76 80.76 80.68 80.76 80.15 80.07 79.92 80.15 80.07
 80.22 80.15 79.92 80.22 80.22 80.22 80.22 80.07 80.22 80.22 80.15 80.22
 80.15 80.07 79.08 79.08 79.16 79.08 79.31 79.39 79.23 79.31 79.31 79.23
 79.16 79.16 79.23 79.23 79.31 79.16 79.16 79.16 79.23 79.31 79.31 79.31
 79.31 79.31]","[np.float64(80.035), np.float64(82.44), np.float64(81.75), np.float64(80.76), np.float64(80.15), np.float64(79.27000000000001)]",1775076959.7564402,1775076959.7564402,1775076960.879458,118.44699538681735,7.478037600267591,0
check,2026-04-01 16:56:07,915,TagV32_8->TagV32_9,"[83.05 80.3  80.38 80.38 80.3  80.38 80.53 80.3  80.3  80.61 80.45 80.45
 80.53 80.45 80.68 80.61 80.68 80.38 80.45 80.53 80.61 80.61 80.45 80.83
 80.76 80.91 80.91 80.76 80.76 80.76 80.68 80.61 80.83 80.53 80.3  80.99
 80.53 80.83 80.76 80.99 78.85 78.77 79.08 78.7  78.62 78.85 78.85 78.85
 78.7  79.   78.77 78.77 78.77 78.93 78.85 79.23 79.23 79.08 79.08 79.31
 79.54 79.61 79.61 79.84 79.84 79.46 79.54 79.84 79.92 79.92 79.84 79.54
 79.61 80.   79.84 79.92 80.   80.   80.07 80.61 80.68 80.76 80.   80.91
 80.45 80.83 80.53 80.68 80.61 80.83 80.61 80.68 80.91 80.53 80.83 80.91
 80.91 80.83 81.37 81.45 81.14 81.22 81.22 81.37 81.06 81.06 81.45 81.29
 81.29 81.22 81.37 81.37 81.52 81.37 81.52 81.14 81.22 81.14 81.52 81.37
 81.14 81.14]","[np.float64(80.45), np.float64(80.76), np.float64(78.85), np.float64(79.84), np.float64(80.83), np.float64(81.29)]","{1: array([83.05, 80.3 , 80.38, 80.38, 80.3 , 80.38, 80.53, 80.3 , 80.3 ,
       80.61, 80.45, 80.45, 80.53, 80.45, 80.68, 80.61, 80.68, 80.38,
       80.45, 80.53]), 3: array([80.61, 80.61, 80.45, 80.83, 80.76, 80.91, 80.91, 80.76, 80.76,
       80.76, 80.68, 80.61, 80.83, 80.53, 80.3 , 80.99, 80.53, 80.83,
       80.76, 80.99, 78.85]), 4: array([78.77, 79.08, 78.7 , 78.62, 78.85, 78.85, 78.85, 78.7 , 79.  ,
       78.77, 78.77, 78.77, 78.93, 78.85, 79.23, 79.23, 79.08, 79.08,
       79.31, 79.54]), 6: array([79.61, 79.61, 79.84, 79.84, 79.46, 79.54, 79.84, 79.92, 79.92,
       79.84, 79.54, 79.61, 80.  , 79.84, 79.92, 80.  , 80.  , 80.07,
       80.61, 80.68]), 7: array([80.76, 80.  , 80.91, 80.45, 80.83, 80.53, 80.68, 80.61, 80.83,
       80.61, 80.68, 80.91, 80.53, 80.83, 80.91, 80.91, 80.83, 81.37,
       81.45, 81.14, 81.22]), 8: array([81.22, 81.37, 81.06, 81.06, 81.45, 81.29, 81.29, 81.22, 81.37,
       81.37, 81.52, 81.37, 81.52, 81.14, 81.22, 81.14, 81.52, 81.37,
       81.14, 81.14])}",1775076963.415162,1775076964.538166,-82.00922563571218,TagV32_9->TagV32_8,"[79.54 79.   79.23 79.31 79.16 79.16 79.   79.   78.93 78.93 79.   79.08
 79.16 79.16 78.93 79.08 79.16 78.93 79.   79.23 81.22 81.29 81.29 81.52
 81.45 81.14 81.29 81.22 81.22 81.22 81.06 81.22 81.22 81.37 81.29 81.22
 81.14 81.29 81.14 80.38 80.61 80.53 80.61 80.53 80.3  80.38 80.45 80.53
 80.38 80.68 80.68 80.76 80.68 80.45 80.53 80.38 80.68 80.76 80.68 79.61
 79.46 79.54 79.46 79.31 79.61 79.69 79.39 79.54 79.77 79.69 79.46 79.61
 79.69 79.61 79.69 79.61 79.77 79.69 79.54 78.85 79.   78.77 79.   78.85
 79.   78.93 78.93 78.93 79.08 78.85 79.08 79.08 79.23 78.85 79.   79.
 78.85 78.85 78.09 78.09 78.01 78.09 78.01 78.24 78.24 78.32 78.32 78.09
 78.01 78.01 78.09 78.16 78.01 78.32 78.16 78.24 78.32 78.32 78.24 78.39
 78.16 78.39]","[np.float64(79.08), np.float64(81.22), np.float64(80.53), np.float64(79.61), np.float64(78.93), np.float64(78.24)]",1775076965.62727,1775076965.62727,1775076966.750484,122.17626572949678,20.083520046892296,1
